ARTWORK_ID;BESCHREIBUNG
835667843;Painting acrylic on canvas
835667893;Painting oil on canvas
835668092;Other Materials cotton, linen, pigmented acrylic fiber
835668193;Painting Pigment on canvas
835668697;Painting Acrylic on canvas
835668747;Painting oil on canvas
835668748;Work on Paper Pastel on paper
835668793;Painting Acrylic on canvas
835668795;Mixed Media palm tree trunk, painted leather, shells and beads
835668894;Work on Paper Gouache on paper
835668895;Other Materials wood, metal, screws, plastic, light bulbs, synthetic fabric and electrical components
835668942;Sculpture acrylic on wood
835668992;Other Materials polychrome wood
835669042;Painting Oil on canvas
835669092;Other Materials wood, nylon and metal
835669693;Painting acrylic on canvas
835669743;Painting Oil on canvas
835669795;Work on Paper Ink, colored pencil, and oil pastel on paper
835669892;Painting acrylic on canvas
835669896;Painting Oil on Belgian linen
835669897;Painting Oil on Belgian linen
835669953;Painting Oil paint and cold wax on canvas
835670201;Mixed Media antique quilts, assorted textiles, mixed media on fiberglass
835670228;Painting Acrylic on canvas
835670229;Painting Acrylic on wood
835670231;Painting acrylic on linen
835670233;Painting vinyl dispersion and dry pigment on canvas
835670245;Painting Ink and screenprint on gessoed fiberglass
835670246;Painting Acrylic on canvas stretched over aluminum panel
835670247;Painting Oil on canvas
835670250;Painting Oil on canvas
835670254;Painting oil on paper, 2 modules, 1 cut out 
835670274;Painting Oil on canvas
835670289;Prints & Multiples Pigmented and stenciled handmade paper
835670292;Painting Acrylic paint, fabric, thread, dyed canvas, painted canvas on canvas
835670302;Painting Oil on linen
835670335;Painting Acrylic on canvas
835670343;Painting oil and acrylic on canvas
835670349;Painting oil and oil stick on linen
835670364;Painting Acrylic on canvas
835670377;Painting Acrylic paint, acrylic spray, oil chalk, oil paint on canvas
835670393;Mixed Media hand-tufted 100% New Zealand Wool, 12 mm pile
835670397;Prints & Multiples Pigmented and embossed handmade paper with hand-drawn chalk pastel,colored pencil and glitter
835670411;Painting Acrylic gouache on canvas
835670426;Sculpture Bronze, Macaubas
835670428;Painting Oil on cotton poly
835670436;Photography C-Print
835670442;Photography Gelatin silver print
835670469;Painting acrylic on paper 
835670482;Work on Paper Oil, oil crayon and graphite on paper 
835670492;Painting Acrylic on canvas
835670495;Painting Oil on canvas 
835670523;Painting Acrylic on canvas
835670536;Painting Oil and acrylic on linen
835670549;Painting Acrylic paint on canvas inset in custom frame, acrylic velvet, acrylic felt, glass beads, seaglass beads, druzy crystal, vintage pinback buttons, vintage plastic arrowhead, seashell, abalone, artificial sinew, nylon thread, nylon and cotton rope 
835670550;Photography Gelatin silver print with hand-applied text
835670551;Photography C-print
